1.75_10_400,121739.13999999997
1.0_5_200,119302.2200000001
1.75_21_200,110064.54999999989
1.0_10_400,119807.43000000004
1.5_21_200,111712.27999999998
1.0_10_200,119078.60000000005
1.75_21_300,109380.86999999985
1.25_10_200,121345.41000000025
1.0_21_400,112913.68000000005
1.0_21_200,116173.4100000001
1.25_21_200,111314.35000000005
1.5_10_300,121503.63000000005
1.5_10_400,121105.43000000005
2.0_5_300,126786.17000000007
2.0_21_200,110847.55
2.0_10_200,123313.41999999977
2.0_5_400,123991.68000000007
1.0_5_400,120098.55000000016
1.75_5_200,132436.1900000003
2.0_5_200,131322.1500000003
1.25_5_300,122971.53999999992
1.0_21_300,116412.44000000005
2.0_10_300,121412.57999999977
1.25_21_300,111066.77000000008
1.5_5_200,129365.26000000036
1.5_10_200,122215.49000000012
1.75_5_400,125335.51000000015
1.25_5_200,123983.64000000001
1.25_21_400,108581.69000000012
1.0_5_300,119035.36000000004
2.0_21_300,109839.96999999996
1.5_5_400,124144.54000000007
1.25_5_400,122270.31
1.5_21_300,110417.03999999994
1.75_5_300,126274.3900000001
1.25_10_400,120897.0900000002
1.75_10_300,123037.88999999994
1.25_10_300,122730.11000000016
1.5_21_400,108416.94999999992
1.5_5_300,125898.89000000012
2.0_21_400,109527.26999999999
2.0_10_400,118872.14999999979
1.0_10_300,119967.06999999995
1.75_10_200,123636.68999999997
1.75_21_400,107011.71999999987
