1.0_21_150,9.223372164850078E14
1.5_10_350,9.223372178597035E14
1.75_5_150,9.223372171838579E14
1.25_10_350,9.223372192240148E14
1.0_10_150,9.223372180065131E14
1.25_5_350,9.223372208813824E14
1.0_21_200,9.223372173665118E14
1.0_21_100,9.22337214435435E14
1.5_10_400,9.223372179347619E14
2.0_5_300,9.223372180405506E14
1.25_5_250,9.223372202973714E14
1.25_21_350,9.223372161948019E14
1.75_5_200,9.223372181861591E14
1.0_5_150,9.223372182430239E14
1.75_21_150,9.223372121156069E14
1.25_21_300,9.223372160890634E14
1.5_10_200,9.223372171054332E14
2.0_10_300,9.223372151363929E14
1.0_5_250,9.223372209090899E14
1.5_21_250,9.223372141731634E14
1.75_5_400,9.223372192208105E14
1.25_21_400,9.223372162608465E14
1.25_21_250,9.223372159269355E14
1.25_5_150,9.223372181059176E14
1.75_21_250,9.223372126001218E14
1.5_10_150,9.223372163110602E14
1.75_21_350,9.223372127504786E14
1.5_5_150,9.223372177267895E14
2.0_5_150,9.223372165214502E14
2.0_5_250,9.223372178117721E14
1.25_10_150,9.223372172615862E14
1.75_21_300,9.223372126909554E14
2.0_21_350,9.223372113292505E14
1.0_5_350,9.223372215970915E14
1.75_21_100,9.223372113135956E14
2.0_10_350,9.223372152190975E14
1.0_10_350,9.223372205149691E14
1.75_10_350,9.223372165030856E14
2.0_10_250,9.223372150065386E14
2.0_21_250,9.223372112235419E14
1.75_10_150,9.223372152662529E14
1.5_5_200,9.223372189603602E14
2.0_21_150,9.223372108859611E14
1.5_5_350,9.223372200540635E14
1.5_5_400,9.223372201573944E14
1.5_21_100,9.223372124219912E14
1.5_21_300,9.223372143003008E14
1.5_21_400,9.223372144252402E14
1.75_10_200,9.223372159141135E14
2.0_5_350,9.223372181782821E14
1.25_10_100,9.223372148704388E14
1.5_10_250,9.223372175218755E14
1.0_5_100,9.223372145228382E14
1.75_10_400,9.223372165606608E14
1.0_5_200,9.223372200369366E14
1.5_21_200,9.223372139472766E14
1.25_5_100,9.223372148937345E14
1.25_10_200,9.223372182810888E14
1.0_21_400,9.223372182617349E14
1.5_10_300,9.223372177267032E14
1.75_5_100,9.223372147734678E14
2.0_10_200,9.223372147497054E14
2.0_5_400,9.223372182551531E14
1.25_5_300,9.223372206833589E14
2.0_10_150,9.223372142524985E14
1.25_5_200,9.22337219587038E14
1.0_10_250,9.223372199964236E14
1.5_21_350,9.223372143808595E14
1.75_5_250,9.223372186965518E14
1.25_5_400,9.223372210034564E14
1.25_10_400,9.223372193169309E14
1.75_5_300,9.22337218971515E14
1.25_10_300,9.223372190586836E14
2.0_10_400,9.223372152670188E14
1.0_10_100,9.223372150389962E14
1.75_10_250,9.223372162320346E14
1.75_5_350,9.223372191261412E14
2.0_21_100,9.223372102893469E14
1.0_10_400,9.223372206431764E14
1.75_21_200,9.22337212438479E14
1.0_10_200,9.223372193455409E14
1.5_21_150,9.223372135110809E14
1.25_21_200,9.223372156174192E14
1.25_21_150,9.223372149948435E14
1.25_21_100,9.223372134941876E14
2.0_10_100,9.223372130083078E14
1.5_10_100,9.223372143859369E14
2.0_21_200,9.223372111111435E14
1.5_5_100,9.223372149560094E14
1.0_5_400,9.223372217294015E14
1.75_10_100,9.2233721371904E14
1.0_21_300,9.22337218017416E14
2.0_5_200,9.223372173762214E14
2.0_5_100,9.223372144403724E14
1.0_5_300,9.223372213690048E14
2.0_21_300,9.2233721128832E14
1.5_5_250,9.223372195597429E14
1.25_10_250,9.223372188048281E14
1.0_21_250,9.223372177914416E14
1.0_21_350,9.22337218174292E14
1.75_10_300,9.223372163945429E14
1.5_5_300,9.223372198763348E14
2.0_21_400,9.223372113534888E14
1.0_10_300,9.22337220326024E14
1.75_21_400,9.223372127792066E14
